name,image,video,project,path
SC1214 LOW1 Pag-IBIG,https://drive.google.com/uc?export=download&id=1xmZvXMLbG0ntvJW3Am693HVuviqDJgct,,cubao,LATEST SAMPLE COMPUTATION HDMF\SC1214 LOW1 Pag-IBIG
SC1214 LOW2 Pag-IBIG,https://drive.google.com/uc?export=download&id=1uYSOT6SGwgFc8SjLIFvfXofzyIJp6sfc,,cubao,LATEST SAMPLE COMPUTATION HDMF\SC1214 LOW2 Pag-IBIG
SC1214 MID1 Pag-IBIG,https://drive.google.com/uc?export=download&id=1Co8C4gSEtSSKMRV7t7CaV_ER80rIRBxN,,cubao,LATEST SAMPLE COMPUTATION HDMF\SC1214 MID1 Pag-IBIG
SC1214 MID2 Pag-IBIG,https://drive.google.com/uc?export=download&id=1wsduIu2AOGifSVcln92MiWQoDBngk5Il,,cubao,LATEST SAMPLE COMPUTATION HDMF\SC1214 MID2 Pag-IBIG
SO1214 HIGH Pag-IBIG,https://drive.google.com/uc?export=download&id=1YFPxGXEiK64itPEMqhGJ_B16jJuSWG-3,,cubao,LATEST SAMPLE COMPUTATION HDMF\SO1214 HIGH Pag-IBIG
SO1214 LOW1 Pag-IBIG,https://drive.google.com/uc?export=download&id=1NQPB0STq6aSN_up46qVby4dL6cPwAK_Y,,cubao,LATEST SAMPLE COMPUTATION HDMF\SO1214 LOW1 Pag-IBIG
SO1214 LOW2 Pag-IBIG,https://drive.google.com/uc?export=download&id=109mb9fAOqq9-FwFogWkk6e8T89j7uFHd,,cubao,LATEST SAMPLE COMPUTATION HDMF\SO1214 LOW2 Pag-IBIG
SO1214 MID1 Pag-IBIG,https://drive.google.com/uc?export=download&id=1NCfYKiSy38lg2b1cif6LlibzBsb1maKb,,cubao,LATEST SAMPLE COMPUTATION HDMF\SO1214 MID1 Pag-IBIG
SO1214 MID2 Pag-IBIG,https://drive.google.com/uc?export=download&id=1fnMp-Kc_WtD0-boK3RJxxMgzOw3kGhhU,,cubao,LATEST SAMPLE COMPUTATION HDMF\SO1214 MID2 Pag-IBIG
3rd and 5th Floor Parking Sample Computation_,https://drive.google.com/uc?export=download&id=1wiN5Ay4GJRi5qv5mmUvtdg_17cFb6wkp,,cubao,Parking Sample Computation\3rd and 5th Floor Parking Sample Computation_
6th and 8th Floor Parking Sample Computation_,https://drive.google.com/uc?export=download&id=15-I3lx06eFXaE3NWX3Y771U1tFLZVk9d,,cubao,Parking Sample Computation\6th and 8th Floor Parking Sample Computation_
Building view (Night).mp4,,https://drive.google.com/uc?export=download&id=17-BuFzU9tqGhTYloBe1w59ySiEquVvgL,cubao,Project Photo & Video\Building view (Night).mp4
URBAN DECA TOWERS CUBAO TOUR.mp4,,https://drive.google.com/uc?export=download&id=1Uv6-wJ4kVYvylcNqmJRRsGN43bgz7yE5,cubao,Project Photo & Video\URBAN DECA TOWERS CUBAO TOUR.mp4
One Bedroom 0,https://drive.google.com/uc?export=download&id=1MnCcCWoFCa7yhnGGGd48dO3zN6xpxnUH,,cubao,Project Photo & Video\ONE BEDROOM (DRESSED UP)\One Bedroom 0
One Bedroom 1,https://drive.google.com/uc?export=download&id=1jFYDh9fKuMEhnB4dC4KOXZqaabKRs4IF,,cubao,Project Photo & Video\ONE BEDROOM (DRESSED UP)\One Bedroom 1
One Bedroom 2,https://drive.google.com/uc?export=download&id=1KuDy2gNndrkDoVYVy0-YbZoF8-r0jS7Y,,cubao,Project Photo & Video\ONE BEDROOM (DRESSED UP)\One Bedroom 2
One Bedroom 3,https://drive.google.com/uc?export=download&id=1LXKrwU7yqpqfjYK9b-xeVg79QlFgaCKZ,,cubao,Project Photo & Video\ONE BEDROOM (DRESSED UP)\One Bedroom 3
One Bedroom 4,https://drive.google.com/uc?export=download&id=11Vl_1c0sA3oEnvKc9d-45a6CSXFzGhYl,,cubao,Project Photo & Video\ONE BEDROOM (DRESSED UP)\One Bedroom 4
One Bedroom 5,https://drive.google.com/uc?export=download&id=1qomLWuV5DCFjbNAbX7UlKRNu5y8XcaDk,,cubao,Project Photo & Video\ONE BEDROOM (DRESSED UP)\One Bedroom 5
One Bedroom 6,https://drive.google.com/uc?export=download&id=1Sq5fhnHR_tI2EdJhV5CKO7fwUbTri_yA,,cubao,Project Photo & Video\ONE BEDROOM (DRESSED UP)\One Bedroom 6
One Bedroom 7,https://drive.google.com/uc?export=download&id=1en-u8lKGNRSOd7MZEAVwq8TCmcD0gGky,,cubao,Project Photo & Video\ONE BEDROOM (DRESSED UP)\One Bedroom 7
Studio 0,https://drive.google.com/uc?export=download&id=1gNKcmESVkSd_mqRCRxJIJzLad1wuXA-i,,cubao,Project Photo & Video\STUDIO (DRESSED UP)\Studio 0
Studio 1,https://drive.google.com/uc?export=download&id=1TFOn6VcJ_ajUXFJZ11m8-SGKAfLM12MK,,cubao,Project Photo & Video\STUDIO (DRESSED UP)\Studio 1
Studio 2,https://drive.google.com/uc?export=download&id=1qANxYfDPSDiOfc34iVltSUxM59wqgVC0,,cubao,Project Photo & Video\STUDIO (DRESSED UP)\Studio 2
Studio 3,https://drive.google.com/uc?export=download&id=13-zaADIEabKs7wPMpOxPakqlmajpajRc,,cubao,Project Photo & Video\STUDIO (DRESSED UP)\Studio 3
Studio 4,https://drive.google.com/uc?export=download&id=19BoT_iKw0UKSF6HeIYPHmTgB47XH-Nb-,,cubao,Project Photo & Video\STUDIO (DRESSED UP)\Studio 4
business banks,https://drive.google.com/uc?export=download&id=1gtfBU1kYdvo2pvvFG_JgLmev1uOKshNF,,cubao,REQUIREMENTS\BANKS\business banks
locally banks,https://drive.google.com/uc?export=download&id=1PMtV4JzClrY3oRSew5R5Y596E7foa3_m,,cubao,REQUIREMENTS\BANKS\locally banks
ofw banks,https://drive.google.com/uc?export=download&id=1o8IO8zWt8mp7ii6J3Ojk5Ji-g0hnql-i,,cubao,REQUIREMENTS\BANKS\ofw banks
self employed banks,https://drive.google.com/uc?export=download&id=1XAqPyrPa7_3aiTEFBpBNyr8kt5ydVtJb,,cubao,REQUIREMENTS\BANKS\self employed banks
business hdmf,https://drive.google.com/uc?export=download&id=1ic2yLSb6Hk5rR5HRlbR4VlH__bHsIeSR,,cubao,REQUIREMENTS\HDMF\business hdmf
locally hdmf,https://drive.google.com/uc?export=download&id=1p0CP5xOtljrwkp_26wU4m3YnfsKi6g47,,cubao,REQUIREMENTS\HDMF\locally hdmf
OFW hdmf,https://drive.google.com/uc?export=download&id=150y_3aWKCqvlmls-Oni2cPSjgHeP2O9S,,cubao,REQUIREMENTS\HDMF\OFW hdmf
self employed VA hdmf,https://drive.google.com/uc?export=download&id=11vjeVvp4CljritcaDaD_YOH1sY5_IvtZ,,cubao,REQUIREMENTS\HDMF\self employed VA hdmf
3rd Floor Parking,https://drive.google.com/uc?export=download&id=13Jn4n-WQFig2jzCH3Mras8CxajzZ7fJ0,,cubao,Site Development Plan & Floor Plan\Building Floor Plan\Parking Floor Plan\3rd Floor Parking
5th Floor Parking,https://drive.google.com/uc?export=download&id=1gxbCGQUxsRbNh-8SKyWMP95h9frSmhhz,,cubao,Site Development Plan & Floor Plan\Building Floor Plan\Parking Floor Plan\5th Floor Parking
6th Floor Parking,https://drive.google.com/uc?export=download&id=1gXeaNckrfXADH9EAnuKhRsxyRV5FS7mi,,cubao,Site Development Plan & Floor Plan\Building Floor Plan\Parking Floor Plan\6th Floor Parking
8th Floor Parking,https://drive.google.com/uc?export=download&id=1DRjaPLSkXfeWbmPajpI2rk_tBMmG3T7-,,cubao,Site Development Plan & Floor Plan\Building Floor Plan\Parking Floor Plan\8th Floor Parking
Mechanized Parking,https://drive.google.com/uc?export=download&id=1WtxEA49lETmi18oj1wgq7KDOPH8VNBDt,,cubao,Site Development Plan & Floor Plan\Building Floor Plan\Parking Floor Plan\Mechanized Parking
Parking,https://drive.google.com/uc?export=download&id=1wpsOfjX0HQ9nVuZeaSnQ28qd4hxTGZhS,,cubao,Site Development Plan & Floor Plan\Building Floor Plan\Parking Floor Plan\Parking
3rd-8th Floor Combine Unit,https://drive.google.com/uc?export=download&id=1Y6hn-36OrEOjI7yj9Oim_pghb4-rT-J7,,cubao,Site Development Plan & Floor Plan\Building Floor Plan\Residential Floor Plan\3-8th Floor Combine Unit
